ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1995,0,0,0,0,0,0,0,9,8,0
10002,1,1,1995,0,10,0,12,0,0,0,0,13,0
10003,1,1,1995,0,0,0,0,0,0,0,0,0,0
10004,1,1,1995,0,0,0,0,0,0,0,0,0,0
10005,1,1,1995,30,18,21,12,14,5,23,13,19,12
10006,1,1,1995,0,0,0,0,0,9,0,0,0,0
10007,1,1,1995,0,0,0,0,0,0,0,0,0,0
10007,2,1,1995,0,0,0,0,0,0,0,0,0,0
10008,0,1,1995,0,0,30,29,0,0,30,0,0,0
10008,0,2,1995,0,0,0,0,0,0,25,19,0,0
10008,1,1,1995,0,0,8,0,0,0,0,22,15,0
10009,1,1,1995,0,0,0,0,0,0,0,0,0,0
10009,2,1,1995,0,0,7,0,0,0,0,0,0,0
10010,1,1,1995,0,0,0,0,0,0,0,0,0,0
10011,1,1,1995,0,0,0,0,0,0,0,0,0,0
10012,1,1,1995,16,37,24,19,30,16,24,34,12,26
10013,1,1,1995,0,0,0,0,0,0,0,0,0,0
10014,1,1,1995,0,0,0,0,0,0,0,0,0,18
10015,1,1,1995,0,0,0,0,0,0,0,0,0,0
10015,2,1,1995,0,0,0,0,0,0,0,0,0,0
10016,1,1,1995,0,0,0,0,0,0,0,0,0,0
10016,2,1,1995,0,0,0,0,0,0,0,0,0,0
10017,1,1,1995,0,0,0,0,0,0,0,0,0,0
10018,1,1,1995,0,0,0,0,12,0,0,0,0,0
10018,2,1,1995,0,0,0,0,0,0,0,0,0,0
10019,1,1,1995,13,22,15,21,25,29,34,0,21,16
10020,1,1,1995,0,0,0,21,18,0,28,0,9,26
10021,1,1,1995,33,13,16,26,14,8,17,21,16,9
10022,1,1,1995,0,28,0,17,0,15,23,0,16,34
10023,1,1,1995,0,0,0,0,0,0,0,0,0,0
10023,2,1,1995,0,0,0,0,0,0,0,0,0,0
10024,0,1,1995,15,0,0,20,16,0,1,26,0,41
10024,1,1,1995,0,0,0,0,0,0,0,0,0,0
10025,1,1,1995,0,0,0,0,0,0,0,0,16,15
10026,1,1,1995,22,12,10,20,3,11,17,4,12,19
10027,1,1,1995,0,0,0,0,0,0,0,0,0,0
10027,2,1,1995,0,0,0,0,0,0,0,0,0,0
10028,1,1,1995,16,16,9,29,17,23,42,14,14,21
10029,1,1,1995,0,0,0,0,0,0,0,0,0,0
10029,2,1,1995,0,0,0,0,0,0,0,0,0,0
10030,1,1,1995,4,0,7,10,23,21,8,21,8,12
10030,2,1,1995,8,19,0,1,7,9,25,12,16,0
10031,1,1,1995,0,0,0,0,0,0,0,0,0,7
10032,0,1,1995,0,0,0,0,0,0,0,0,0,0
10032,1,1,1995,0,0,0,0,0,0,0,0,0,0
10033,1,1,1995,20,24,20,2,21,38,22,26,19,15
10035,1,1,1995,0,0,10,0,0,0,0,25,0,19
10036,1,1,1995,0,18,0,30,9,0,16,0,5,0
10037,1,1,1995,0,16,16,0,0,15,21,16,19,10
10038,1,1,1995,24,0,0,21,0,0,0,0,0,21
10039,1,1,1995,12,37,16,8,19,16,13,5,17,13
10039,2,1,1995,0,0,0,0,0,0,0,0,24,0
10039,3,1,1995,0,0,0,0,11,0,0,0,0,0
10040,1,1,1995,0,0,0,0,0,0,0,0,0,0
10040,2,1,1995,0,0,0,0,0,0,0,0,0,0
10041,1,1,1995,0,0,17,0,0,0,0,0,0,0
10042,1,1,1995,24,24,24,24,24,24,24,24,24,24
10042,2,1,1995,31,31,31,31,31,31,31,31,31,31
10043,1,1,1995,0,0,0,0,0,0,0,0,0,0
10044,1,1,1995,0,0,0,0,0,0,0,0,0,0
10044,2,1,1995,0,0,0,0,0,0,0,0,0,0
10045,1,1,1995,24,13,20,17,16,28,18,19,10,19
10046,1,1,1995,0,0,0,0,0,0,0,0,7,0
10047,1,1,1995,11,18,20,20,14,16,9,33,13,15
10048,1,1,1995,0,0,0,0,0,0,0,16,0,0
10049,1,1,1995,0,0,0,0,0,0,0,0,19,14
10050,1,1,1995,23,23,23,23,23,23,23,23,23,23
10050,2,1,1995,0,0,0,0,0,0,0,0,0,0
10051,1,1,1995,26,26,26,26,26,26,26,26,26,26
10052,1,1,1995,5,5,5,5,5,5,5,5,5,5
10052,2,1,1995,0,0,0,0,0,0,0,0,0,0
10053,1,1,1995,27,27,27,27,27,27,27,27,27,27
10053,2,1,1995,0,0,0,0,0,0,0,0,0,0
10054,0,1,1995,26,26,26,26,26,26,26,26,26,26
10054,1,1,1995,27,19,16,22,18,18,4,8,0,12
10055,1,1,1995,0,0,0,0,0,0,0,0,0,0
10056,1,1,1995,0,0,0,0,0,11,0,0,0,0
10056,2,1,1995,0,0,0,0,0,0,0,0,0,0
10057,1,1,1995,19,28,16,25,15,14,22,0,0,22
10058,0,1,1995,38,38,38,38,38,38,38,38,38,38
10058,1,1,1995,0,0,0,0,0,0,0,0,0,0
10059,1,1,1995,0,0,0,0,0,0,0,0,0,0
10059,2,1,1995,0,0,0,0,0,0,0,0,0,0
10060,0,1,1995,0,11,0,0,38,0,10,0,29,0
10060,1,1,1995,13,13,13,13,13,13,13,13,13,13
10061,1,1,1995,0,0,0,0,0,0,0,0,0,0
10061,2,1,1995,0,0,0,0,12,0,0,0,7,0
10061,3,1,1995,0,0,0,14,0,0,0,0,0,0
10062,1,1,1995,11,11,11,11,11,11,11,11,11,11
10063,1,1,1995,4,5,11,20,2,6,0,18,0,2
10063,2,1,1995,19,23,11,17,31,16,23,18,14,9
10064,1,1,1995,0,0,0,0,0,0,0,0,0,0
10064,2,1,1995,0,0,0,0,0,0,0,0,0,0
10065,0,1,1995,7,0,0,15,30,12,15,0,30,27
10065,1,1,1995,27,23,0,0,34,11,0,0,0,11
10066,1,1,1995,0,0,0,0,0,0,0,0,0,0
10066,2,1,1995,0,0,0,0,0,0,0,0,0,0
10067,1,1,1995,35,11,21,19,21,14,10,15,24,13
