ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10066,1,1,1990,0,0,0,0,0,0,0,0,0,0
10066,2,1,1990,0,0,0,0,0,0,0,0,0,0
10066,3,1,1990,0,0,0,0,0,0,0,0,0,0
10067,1,1,1990,14,14,14,14,14,14,14,14,14,14
10067,2,1,1990,0,0,0,0,0,0,0,0,0,0
10067,3,1,1990,0,0,0,0,0,14,13,0,0,0
10068,0,1,1990,0,0,0,0,0,0,0,0,0,0
10068,1,1,1990,0,13,0,0,0,0,0,0,0,12
10069,0,1,1990,1,1,1,1,1,1,1,1,1,1
10070,1,1,1990,0,0,0,0,0,0,0,0,0,0
10070,2,1,1990,0,0,0,0,0,0,0,0,0,0
10071,1,1,1990,12,12,12,12,12,12,12,12,12,12
10072,1,1,1990,14,10,12,0,12,0,0,0,0,0
10073,1,1,1990,0,0,0,0,0,0,0,0,0,0
10074,1,1,1990,30,20,17,6,30,22,23,4,20,32
10075,1,1,1990,9,10,12,24,9,22,8,18,14,6
10076,1,1,1990,0,0,30,9,23,0,0,0,0,0
10077,1,1,1990,18,0,0,0,0,0,0,0,0,0
10077,2,1,1990,0,0,0,0,0,0,0,0,0,0
10078,1,1,1990,0,0,0,0,0,0,0,0,0,0
10078,2,1,1990,0,10,0,0,0,0,0,0,0,0
10078,3,1,1990,0,0,0,0,0,0,0,0,0,0
10079,1,1,1990,23,9,17,24,14,12,11,36,25,36
10080,1,1,1990,13,13,13,13,13,13,13,13,13,13
10081,1,1,1990,14,20,30,17,10,9,38,10,16,15
10081,2,1,1990,7,0,0,0,0,0,0,0,0,0
10082,1,1,1990,16,23,15,25,23,12,22,11,19,24
10083,1,1,1990,31,31,31,31,31,31,31,31,31,31
10084,1,1,1990,0,0,0,0,0,0,0,0,0,0
10085,1,1,1990,31,19,46,21,30,16,12,16,37,18
10086,0,1,1990,0,0,0,0,0,0,0,36,0,0
10086,1,1,1990,0,0,0,0,0,0,0,0,0,0
10087,1,1,1990,0,0,0,0,0,0,0,0,0,0
10087,2,1,1990,0,0,0,0,0,0,0,0,0,0
10088,1,1,1990,1,1,1,1,1,1,1,1,1,1
10088,2,1,1990,0,0,0,0,0,0,0,0,0,0
10089,1,1,1990,0,0,0,0,0,0,0,0,0,0
10090,1,1,1990,13,13,14,31,22,33,16,25,20,13
10091,0,1,1990,0,0,0,15,0,0,0,0,0,0
10091,1,1,1990,29,29,29,29,29,29,29,29,29,29
10092,1,1,1990,0,0,0,0,0,0,0,0,0,0
10092,2,1,1990,0,3,0,0,0,0,0,0,0,0
10093,1,1,1990,24,24,24,24,24,24,24,24,24,24
10094,1,1,1990,11,11,11,11,11,11,11,11,11,11
10095,1,1,1990,31,31,31,31,31,31,31,31,31,31
10096,1,1,1990,0,0,0,0,0,0,0,0,0,0
10096,2,1,1990,0,0,0,0,0,0,0,0,0,0
10097,1,1,1990,0,0,0,0,0,0,0,0,0,0
10097,2,1,1990,0,0,0,0,0,0,0,0,0,0
